;id;en;full_ssp_name;lat;lng;type;time;date;file
175;246905;Buff-necked Ibis;Theristicus_caudatus_;7.3682;-69.4407;song;00:00;2010-04-20;https://www.xeno-canto.org/246905/download
176;230869;Buff-necked Ibis;Theristicus_caudatus_;7.2333333333;-71.4166666667;call;16:00;1996-12-30;https://www.xeno-canto.org/230869/download
177;230868;Buff-necked Ibis;Theristicus_caudatus_;7.2333333333;-71.4166666667;call;16:00;1996-12-30;https://www.xeno-canto.org/230868/download
178;102927;Buff-necked Ibis;Theristicus_caudatus_;7.7109;-67.1478;?;07.30;2011-03-13;https://www.xeno-canto.org/102927/download
179;27880;Buff-necked Ibis;Theristicus_caudatus_;8.95;-68.08333;call;?:?;2006-11-00;https://www.xeno-canto.org/27880/download
180;9038;Buff-necked Ibis;Theristicus_caudatus_;7.4334;-69.3167;call;?;1992-11-01;https://www.xeno-canto.org/9038/download
181;9035;Buff-necked Ibis;Theristicus_caudatus_;7.4334;-69.3167;Calls at roost;05:40;1992-11-01;https://www.xeno-canto.org/9035/download
182;246906;Buff-necked Ibis;Theristicus_caudatus_;7.3682;-69.4407;call, song;00:00;2010-04-20;https://www.xeno-canto.org/246906/download
183;147683;Buff-necked Ibis;Theristicus_caudatus_;7.7143;-69.3326;flight call;10:00;2009-02-26;https://www.xeno-canto.org/147683/download
184;43055;Buff-necked Ibis;Theristicus_caudatus_;7.058986;-69.494019;song;?:?;0000-00-00;https://www.xeno-canto.org/43055/download
185;9039;Buff-necked Ibis;Theristicus_caudatus_;7.4334;-69.3167;call;?;1992-11-01;https://www.xeno-canto.org/9039/download
186;9037;Buff-necked Ibis;Theristicus_caudatus_;7.4334;-69.3167;flight call;?;1992-11-01;https://www.xeno-canto.org/9037/download
187;147658;Sharp-tailed Ibis;Cercibis_oxycerca_;7.7143;-69.3326;flight call;08:30;2009-02-24;https://www.xeno-canto.org/147658/download
188;65945;Sharp-tailed Ibis;Cercibis_oxycerca_;8.9498;-68.0831;duet, song;07:20;2008-01-25;https://www.xeno-canto.org/65945/download
189;65942;Sharp-tailed Ibis;Cercibis_oxycerca_;8.942;-68.049;call;18:00;2008-01-24;https://www.xeno-canto.org/65942/download
